clave_municipio,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
5015,237.285502,135.079575,149.886865,25.974357,64.004131,39.539462,49.444604,42.012833,7.781126,252.405289,42.116924,50.705345,2.068,3.337926,26.217475,11.286842,3.652634,3.734563,0.158994,0.0,0.0,1.271,8.897519,6.596738
5016,7.731049,8.84696,11.614547,3.34879,5.264491,2.632563,4.465861,5.380019,1.355451,5.341771,81.333163,4.464067,0.398934,0.797023,0.122419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.319081,0.0
5017,19.721263,10.926175,9.843713,5.33418,4.33725,2.263544,3.107238,1.130908,2.827732,6.947976,1.293116,1.0504,2.017636,0.484706,0.0,0.0,0.484701,0.0,0.0,0.0,0.0,0.0,0.566094,0.485222
5018,24.049285,34.607431,11.350084,50.989265,13.98742,5.753137,36.117775,87.70942,4.555804,19.711815,3.277817,6.073148,6.550168,2.397974,5.436311,1.119637,1.599301,1.519122,0.719336,1.439252,0.639376,4.047175,1.518784,4.477509
5019,23.975167,15.514987,18.13788,4.234873,32.886462,14.672518,13.9897,10.329485,7.493539,21.69639,3.550227,22.973436,0.315583,0.473235,5.943305,9.623362,5.120866,0.394399,1.183204,11.910554,0.394476,0.552051,2.28716,1.885332
5020,167.528939,66.955658,26.299216,40.534266,54.813841,54.527526,41.400507,71.34463,87.539911,206.191479,555.471379,32.286995,124.245875,36.848286,10.140349,49.069699,41.331569,19.956791,11.06734,44.178688,7.843135,97.397551,85.146213,21.299811
5021,4.390756,1.275735,7.434835,3.349042,2.31279,6.384993,1.673798,34.578536,1.036962,11.171777,2.55493,2.711181,1.516575,1.436717,1.117741,42.465732,0.558507,0.1597,0.0,0.0,0.0,401.781419,4.73373,2.555245
5022,31.51276,28.286088,12.70177,21.970785,60.70799,14.108025,20.761886,26.373909,8.982008,34.192248,6.536054,12.137951,0.946034,3.794153,4.439667,2.991943,1.340442,4.726659,0.630055,0.0,0.551227,0.0,0.472197,13.958517
5023,57.249045,16.529321,29.057587,21.730189,8.640673,107.119355,22.892554,29.419165,480.889924,19.148617,410.387705,36.903834,7.586751,3.637011,0.0,2.520334,1.274363,1.495908,0.0,0.0,0.317969,5.03257,2.292742,4.913273
5024,54.563793,1.134771,8.821001,3.720788,3.157928,5.340654,2.107365,1.214391,2.185884,16.106096,7.443,8.171122,5.41159,3.556021,0.0,0.567128,0.0,0.323864,2.264616,0.0,0.0,0.405564,10.844567,1.213642
5025,10.581082,13.791328,21.971663,19.630935,27.920241,12.980001,25.41342,38.225633,43.377872,52.934592,47.182437,14.587987,7.627251,12.41469,17.619039,30.347513,8.954314,27.901989,4.398929,8.020074,19.966858,3.931827,4.482969,20.575724
5026,159.350236,168.498438,79.314761,112.227722,7.710966,83.703606,18.859974,71.379703,34.986465,33.718536,33.957792,15.439769,3.49717,1.193376,1.351167,7.387958,2.145462,0.23825,0.0,4.381518,0.318986,0.0,2.308414,4.142343
