CLAVE_PROGRAMA,CVE_MUNICIPIO,2019,2020,2021,2022,2023,2024,2025
0010,11031.0,0.0,30000.0,12000.0,0.0,0.0,0.0,0.0
0010,11032.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0
0010,11033.0,0.0,48000.0,36000.0,0.0,0.0,0.0,0.0
0010,11035.0,0.0,24000.0,0.0,0.0,0.0,0.0,0.0
0010,11037.0,0.0,30000.0,6000.0,0.0,0.0,0.0,0.0
0010,11038.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0
0010,11039.0,0.0,24000.0,6000.0,0.0,0.0,0.0,0.0
0010,11040.0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0
0010,11041.0,0.0,48000.0,18000.0,0.0,0.0,0.0,0.0
0010,11042.0,0.0,48000.0,24000.0,0.0,0.0,0.0,0.0
0010,11043.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0
0010,11044.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0
0010,11045.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0
0010,11046.0,0.0,24000.0,0.0,0.0,0.0,0.0,0.0
0010,12001.0,0.0,5820000.0,1902000.0,0.0,0.0,0.0,0.0
0010,12002.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0
0010,12003.0,0.0,6216000.0,1110000.0,0.0,0.0,0.0,0.0
0010,12005.0,0.0,36000.0,0.0,0.0,0.0,0.0,0.0
0010,12006.0,0.0,306000.0,96000.0,0.0,0.0,0.0,0.0
0010,12007.0,0.0,996000.0,228000.0,0.0,0.0,0.0,0.0
0010,12008.0,0.0,180000.0,12000.0,0.0,0.0,0.0,0.0
0010,12010.0,0.0,18000.0,6000.0,0.0,0.0,0.0,0.0
0010,12011.0,0.0,912000.0,138000.0,0.0,0.0,0.0,0.0
0010,12012.0,0.0,108000.0,54000.0,0.0,0.0,0.0,0.0
0010,12013.0,0.0,138000.0,30000.0,0.0,0.0,0.0,0.0
0010,12014.0,0.0,180000.0,30000.0,0.0,0.0,0.0,0.0
0010,12015.0,0.0,114000.0,0.0,0.0,0.0,0.0,0.0
0010,12016.0,0.0,60000.0,6000.0,0.0,0.0,0.0,0.0
0010,12017.0,0.0,6000.0,12000.0,0.0,0.0,0.0,0.0
0010,12018.0,0.0,330000.0,96000.0,0.0,0.0,0.0,0.0
0010,12019.0,0.0,438000.0,102000.0,0.0,0.0,0.0,0.0
0010,12021.0,0.0,3270000.0,528000.0,0.0,0.0,0.0,0.0
0010,12022.0,0.0,2814000.0,618000.0,0.0,0.0,0.0,0.0
0010,12023.0,0.0,228000.0,30000.0,0.0,0.0,0.0,0.0
0010,12025.0,0.0,294000.0,60000.0,0.0,0.0,0.0,0.0
0010,12026.0,0.0,36000.0,6000.0,0.0,0.0,0.0,0.0
0010,12027.0,0.0,678000.0,108000.0,0.0,0.0,0.0,0.0
0010,12028.0,0.0,354000.0,60000.0,0.0,0.0,0.0,0.0
0010,12029.0,0.0,5730000.0,1410000.0,0.0,0.0,0.0,0.0
